0,1,2,3
0,0,1,밑 후기 탈색 머리 알바 불친절하다고 그랬는데 진짜 그러네요 내 돈 주고 사먹는데 기분 나쁨 다시는 안 갈듯
0,1,1,최애 케이크 투썸 스트로베리 엄청 많이 먹어 봤는데 이렇게 맛없는 케이크 처음 요 당황 정도 임 딸기 엄청 신선한데 케이크 자체 오래 쓴 건지 시트 엄청 포크 질 할 때 부스러기 엄청 나오고 크림 안 들어있는 크런치 볼 입 녹아내림 크런치 볼 무슨 줄 ㅡㅡ 더 보기
0,2,5,직원 전부 친절하시고 주차 가능해서 이용 하기에 좋아요 주차 관리인 아저씨 친절하세요
1,3,4,커피 원두 맛남
1,4,3,에그타르트 클래식 에그타르트 크림 치즈 5 시나몬 향 나고 빵 부분 계란 맛 좀 적게 느껴진다
1,5,2,나 는 디저트 너무 달았다 ㅜ
1,6,3,플랫 화이트 그럭저럭
1,7,3,
1,8,5,안달 맛있어요
2,9,5,깨끗하고 자리 넉넉하고 친절하게 대 해주시 맛있다
2,10,5,맛있어요 친절하고 쾌적해요 커피 과일 주스 다 만 만족 이 달 음료 추천 하는 이유 있음 ㅡ 신선하고 맛있음
3,11,5,조금 늦게 가니 베이글 ㅜㅜ 흑 너무 좋다 분위기
3,12,2,너무 많은 기대 했나 음식 왜케 맛없 ㅠㅜ 테라스 분위기 넘 좋은데 앞 사람 담배 ㅜㅜ
3,13,4,냠냠 분위기 좋 앙 ㅎㅎ
3,14,4,분위기
3,15,4,뇨끼 존맛 탱
3,16,4,주차 1시간 지원 돼서 좋아요
3,17,4,분위기 인테리어
3,18,4,와 스콘 너무 맛있당
3,19,4,따뜻한 분위기 커피 마시 따 ㅎㅎ
3,20,4,까눌레 완전 맛있당 ㅋㅋㅋㅋㅋ
3,21,3,무난 카페 음료 양 엄청 많고 사장 넘 젠틀 멋
3,22,2,
3,23,4,테라스 넘 좋은데 여기 사람 너무 많아서 음료 겁나 밀려서 늦게 나옴 그리고 여자 알바생 너무 4 가지 없음
3,24,4,무난 무난 브런치 디저트 종류 약간 난방 브런치 시간 아니어도 먹을 수 있는 샌드위치 빵 종류 있었으면 좋겠어요
3,25,4,카페 생각 엄청 테라스 있고 ㅋㅋㅋ 주차 안되는 줄 알 다른 데 다가 대고 알 보니 발렛 ㅜㅋㅋㅋ 날 다시 가야 징
3,26,4,사장 엄청 ㅎㅎㅎ 커피 마실 때 디저트 메뉴 좀 있었으면 ㅜㅜ 다음 맥주 마시러 가봐야겠어요
3,27,4,초코 케이크 맛있네
3,28,4,생긴 지 한 달 조금 넘은 카페 바스크 치즈 케이크 진짜 맛 당
3,29,3,테라스 좋당
4,30,2,양심 커피 이 가격 지금 훨씬 하는게 아닌가 싶다 커피 맛 때문 방문 하는 사람 없을듯 베이커리 비건 옵션 있는 건 장점
4,31,1,매 컵 달라 하니 저 흰 일회용 컵 4월 매 장내 일회용 컵 금지 아닌가요 ㅜㅜ 테이크아웃 전용 매장 아닌데 개선 되면 좋겠어요
4,32,5,맛있어요 오틀리 두유 옵션 있어서 아주 좋아요
5,33,5,음료 케익 개맛 있어요 아쉬운건 케익 크기 ㅠ
5,34,5,와플 빵 달달 하니 짱 맛있어요 크림 양 선택 가능해서 좋아요 블루베리 잼 추가 약간 상콤 맛있어요 크로와상 빵 그냥 저 냥 겉 화이트 초콜릿 엄청 달아요 당 충전 제대로 됩니다 bb 더 보기
5,35,3,디저트 좋은데 음료 아쉬워요
