0,1,2,3
0,0,1,밑 후기 탈색 머리 알바 불친절하다고 그랬는데 진짜 그러네요 내 돈 주고 사먹는데 기분 나쁨 다시는 안 갈듯
0,1,1,최애 케이크 투썸 스트로베리 엄청 많이 먹어 봤는데 이렇게 맛없는 케이크 처음 요 당황 정도 임 딸기 엄청 케이크 자체 오래 쓴 건지 시트 엄청 포크 질 할 때 부스러기 엄청 나오고 크림 안 들어있는 크런치 볼 입 녹아내림 크런치 볼 무슨 줄 ㅡㅡ 더 보기
0,2,5,직원 전부 친절하시고 주차 가능해서 이용 하기에 좋아요 주차 관리인 아저씨 친절하세요
1,3,4,커피 원두 맛남
1,4,3,에그타르트 클래식 에그타르트 크림 치즈 5 시나몬 향 나고 빵 부분 계란 맛 좀 적게 느껴진다
1,5,2,나 는 디저트 너무 달았다 ㅜ
1,6,3,플랫 화이트 그럭저럭
1,7,3,nan
1,8,5,안달 맛있어요
2,9,5,조금 늦게 가니 베이글 ㅜㅜ 흑 너무 좋다 분위기
2,10,2,너무 많은 기대 했나 음식 왜케 맛없 ㅠㅜ 테라스 분위기 넘 좋은데 앞 사람 담배 ㅜㅜ
2,11,4,냠냠 분위기 좋 앙 ㅎㅎ
2,12,4,분위기
2,13,4,뇨끼 존맛 탱
2,14,4,주차 1시간 돼서 좋아요
2,15,4,분위기 인테리어
2,16,4,와 스콘 너무 맛있당
2,17,4,따뜻한 분위기 커피 마시 따 ㅎㅎ
2,18,4,까눌레 완전 맛있당 ㅋㅋㅋㅋㅋ
2,19,3,무난 카페 음료 양 엄청 많고 사장 넘 젠틀 멋
2,20,2,nan
2,21,4,테라스 넘 좋은데 여기 사람 너무 많아서 음료 겁나 늦게 나옴 그리고 여자 알바생 너무 4 가지 없음
2,22,4,무난 무난 브런치 디저트 종류 약간 난방 브런치 시간 아니어도 먹을 수 있는 샌드위치 빵 종류 있었으면 좋겠어요
2,23,4,카페 생각 엄청 테라스 있고 ㅋㅋㅋ 주차 안되는 줄 알 다른 데 다가 대고 알 보니 발렛 ㅜㅋㅋㅋ 날 다시 가야 징
2,24,4,사장 엄청 ㅎㅎㅎ 커피 마실 때 디저트 메뉴 좀 있었으면 ㅜㅜ 다음 맥주 마시러
2,25,4,초코 케이크 맛있네
2,26,4,생긴 지 한 달 조금 넘은 카페 바스크 치즈 케이크 진짜 맛 당
2,27,3,테라스 좋당
3,28,2,양심 커피 이 가격 지금 훨씬 하는게 아닌가 싶다 커피 맛 때문 방문 하는 사람 없을듯 베이커리 비건 옵션 있는 건 장점
3,29,1,매 컵 달라 하니 저 흰 일회용 컵 4월 매 장내 일회용 컵 금지 아닌가요 ㅜㅜ 테이크아웃 전용 매장 아닌데 개선 되면 좋겠어요
3,30,5,맛있어요 오틀리 두유 옵션 있어서 아주 좋아요
4,31,5,음료 케익 개맛 있어요 아쉬운건 케익 크기 ㅠ
4,32,5,와플 빵 달달 하니 짱 맛있어요 크림 양 선택 가능해서 좋아요 블루베리 잼 추가 약간 상콤 맛있어요 크로와상 빵 그냥 저 냥 겉 화이트 초콜릿 엄청 달아요 당 충전 제대로 됩니다 bb 더 보기
4,33,3,디저트 좋은데 음료 아쉬워요
4,34,2,콜팝 같이 좋은 커피 맛 그냥 저 이구 티라미수 맛있진 않아요 특히 녹차 티라미수 별로 ㅠ
4,35,4,맛있어요 커피 무난 쓰
4,36,2,저렴한 가격 아닌데 이렇게 맛없는 거 처음 먹어 봐요 음료 케익
4,37,2,콜팝 같이 좋은 커피 맛 그냥 저 이구 티라미수 맛있진 않아요 특히 녹차 티라미수 별로 ㅠ
4,38,4,티 블루베리 크 럼블 존맛 말차 팥 타르트 안나 말차 맛 진해서 이인 제 입맛 좀 조금씩 먹으니 맛있더라구요
5,39,5,짱 친절하세요 제 마감 시간 즈음 가서 마감 다 같은데 주문 감사합니다 ㅠㅡㅠ
5,40,5,가게 너무 이쁘고 수 플레 케익 가성 비 체고 진짜 너무 맛있어요 ㅜㅜ 또 가고싶어요 나 알고싶은 카페 ㅎㅎ
5,41,5,nan
5,42,1,nan
5,43,1,사장 누 모르겠는데 먹고 포스 기 보 사장 것 같은데 너무 불친절해요 그리고 왜 알바생 마스크 안
5,44,5,nan
6,45,1,알 왜 1 갠
6,46,1,
6,16,1,
6,47,5,nan
6,48,1,도착 후 조리
6,49,1,
7,50,5,분위기 좋고 음식 예쁘고 맛있어요 다만 주말 브런치 먹으러 가면 웨이팅 매우 때문 웬만하면 오픈 시간 맞춰서 최소 열시 전 가시는 거 추천 해요
7,51,4,강아지 강아지 입장 가능하고 공간 좀 협소 하다는 점 때문 시끌시끌한 건 별로 ㅠㅠ 그치만 음식 개인 가성 비 정말 좋다고 생각 하면서 먹어요 브런치 맛있고 커피 정말 맛있는 편 디저트 괜찮아요 추천 더 보기
7,52,5,제발 지점 더 ㅠㅠㅠ 타 버블티 중독 맛있는 버블티 마셔 본 적 없어요 가게 너무 깔끔하고 직원 친절하시고 최고
8,53,5,좋은 뷰 독특한 티비 티 할 수 것 방문 해야 할 이유 1년 엽서 현재 나 잘 도착 했을 때 소소한 덤
8,54,2,인테리어 올 음식 요리 아닌 조리 나온다 주문 5분 나오길래 많은 맛집 봤지만 이렇게 근본 없는 맛 높은 평점 받은 곳 처음 봅니다
8,55,3,예쁜 곳 역시 너무 커피 가격 조금 ㅅ 악합니다
8,56,4,도심 속 정원 느낌 사진 잘나오고 나름 루프 탑 있으나 스콘 맛없고 철학 카페
8,57,4,솔직히 깔 게 없는 곳 더 많은 맛집 정보 구독 더 보기
8,58,2,쿠 치아바타 절대 먹지 마세요 다시 한번 말 합니다 세상 가장 맛없는 치아바타 받아 려 미각 싫다면 절대 먹지 더 보기
9,59,5,여기 텀블러 가져가면 주십니다
9,60,1,여기 샷추 하면 바로 남는샷 줌
9,61,5,여기 아이스티 진짜 찐 임
9,62,3,오우 커피 맛 좀
9,21,5,직원 친절해서 좋았어요
9,63,4,베이커리 12시 이후 가능
10,64,4,분위기 맛 모두
10,65,5,마들렌 휘 낭시 하나 없음 하나 야함 디저트 류 훌륭 만든 분 고수 같음 더 보기
